iter	Passed	Remaining
399	63826	95739
400	63981	95572
401	64126	95392
402	64326	95292
403	64477	95120
404	64634	94956
405	64781	94779
406	64924	94594
407	65065	94409
408	65205	94220
409	65358	94052
410	65557	93949
411	65711	93782
412	65869	93620
413	66024	93455
414	66183	93294
415	66338	93129
416	66497	92968
417	66652	92803
418	66823	92660
419	67014	92543
420	67190	92407
421	67352	92250
422	67497	92070
423	67653	91906
424	67800	91730
425	67949	91556
426	68066	91340
427	68213	91163
428	68360	90987
429	68507	90812
430	68676	90665
431	68863	90542
432	69006	90362
433	69161	90196
434	69304	90016
435	69460	89852
436	69631	89708
437	69849	89624
438	70013	89470
439	70162	89297
440	70326	89143
441	70483	88981
442	70625	88800
443	70781	88635
444	70925	88457
445	71058	88264
446	71192	88074
447	71333	87892
448	71469	87704
449	71615	87529
450	71753	87344
451	71927	87203
452	72119	87084
453	72373	87039
454	72588	86947
455	72732	86768
456	72871	86584
457	73014	86406
458	73144	86211
459	73289	86035
460	73452	85880
461	73610	85719
462	73748	85535
463	73895	85361
464	74027	85170
465	74156	84977
466	74283	84781
467	74411	84587
468	74550	84406
469	74674	84207
470	74856	84074
471	75007	83906
472	75147	83727
473	75387	83657
474	75512	83461
475	75635	83262
476	75839	83152
477	76077	83080
478	76283	82972
479	76431	82801
480	76598	82649
481	76731	82462
482	76865	82276
483	77006	82098
484	77227	82003
485	77433	81894
486	77580	81722
487	77720	81542
488	77871	81375
489	78005	81189
490	78155	81021
491	78298	80844
492	78539	80769
493	78770	80683
494	78901	80495
495	79055	80330
496	79192	80149
497	79336	79973
498	79485	79803
499	79634	79634
500	79776	79458
501	79915	79278
502	80051	79096
503	80253	78979
504	80386	78794
505	80552	78641
506	80710	78482
507	80866	78319
508	81004	78139
509	81161	77978
510	81308	77807
511	81446	77628
512	81592	77456
513	81780	77325
514	81965	77190
515	82109	77017
516	82243	76835
517	82404	76677
518	82560	76515
519	82710	76348
520	82852	76173
521	83005	76008
522	83156	75842
523	83315	75683
524	83465	75516
525	83614	75348
526	83763	75180
527	83927	75026
528	84077	74859
529	84248	74710
530	84410	74554
531	84556	74384
532	84710	74221
533	84855	74049
534	85036	73910
535	85206	73761
536	85357	73595
537	85548	73463
538	85699	73297
539	85836	73119
540	85968	72938
541	86119	72772
542	86276	72611
543	86427	72446
544	86578	72281
545	86718	72106
546	86870	71942
547	87027	71781
548	87172	71611
549	87331	71452
550	87490	71294
551	87650	71136
552	87801	70971
553	87948	70803
554	88110	70646
555	88376	70573
556	88579	70450
557	88716	70273
558	88850	70095
559	88983	69915
560	89133	69750
561	89264	69568
562	89425	69412
563	89586	69254
564	89719	69076
565	89856	68900
566	89999	68729
567	90132	68551
568	90263	68371
569	90401	68197
570	90528	68015
571	90666	67841
572	90859	67708
573	91002	67538
574	91146	67369
575	91289	67199
576	91462	67051
577	91663	66923
578	91863	66795
579	92091	66686
580	92270	66542
581	92433	66387
582	92597	66231
583	92788	66095
584	92962	65947
585	93101	65774
586	93236	65598
587	93358	65414
588	93483	65232
589	93619	65057
590	93767	64891
591	93906	64719
592	94046	64548
593	94183	64374
594	94342	64216
595	94491	64051
596	94645	63889
597	94843	63757
598	94987	63589
599	95142	63428
600	95287	63260
601	95438	63096
602	95584	62930
603	95734	62766
604	95874	62595
605	96017	62427
606	96232	62305
607	96375	62136
608	96515	61966
609	96668	61804
610	96812	61636
611	96956	61469
612	97105	61304
613	97255	61141
614	97400	60974
615	97548	60809
616	97697	60645
617	97862	60490
618	98058	60355
619	98197	60185
620	98339	60017
621	98489	59853
622	98628	59683
623	98789	59526
624	98936	59362
625	99085	59198
626	99225	59028
627	99371	58863
628	99517	58697
629	99657	58528
630	99809	58367
631	99963	58206
632	100114	58044
633	100264	57881
634	100399	57710
635	100541	57542
636	100698	57383
637	100846	57220
638	100981	57049
639	101145	56894
640	101344	56759
641	101545	56624
642	101705	56467
643	101843	56298
644	101979	56128
645	102120	55960
646	102274	55800
647	102416	55633
648	102566	55471
649	102707	55304
650	102868	55147
651	103023	54987
652	103166	54822
653	103319	54661
654	103462	54495
655	103610	54332
656	103757	54168
657	103906	54005
658	104058	53845
659	104251	53705
660	104480	53583
661	104657	53435
662	104790	53264
663	104928	53096
664	105063	52926
665	105230	52773
666	105385	52613
667	105523	52445
668	105655	52275
669	105798	52109
670	105947	51947
671	106079	51776
672	106208	51604
673	106343	51436
674	106472	51264
675	106607	51096
676	106813	50961
677	106968	50802
678	107107	50635
679	107258	50474
680	107423	50320
681	107571	50157
682	107796	50031
683	107949	49871
684	108132	49725
685	108284	49564
686	108430	49401
687	108568	49234
688	108701	49065
689	108830	48894
690	108977	48732
691	109107	48562
692	109259	48401
693	109405	48239
694	109573	48086
695	109715	47921
696	109861	47758
697	109997	47591
698	110134	47425
699	110274	47260
700	110418	47097
701	110555	46931
702	110694	46765
703	110842	46604
704	111034	46461
705	111195	46305
706	111350	46146
707	111502	45987
708	111674	45835
709	111828	45676
710	111971	45513
711	112112	45348
712	112267	45190
713	112416	45029
714	112568	44869
715	112714	44708
716	112861	44546
717	113003	44382
718	113168	44228
719	113313	44066
720	113450	43901
721	113595	43739
722	113740	43577
723	113877	43411
724	114026	43251
725	114221	43108
726	114379	42951
727	114514	42785
728	114649	42619
729	114788	42456
730	114930	42293
731	115069	42129
732	115212	41966
733	115350	41802
734	115494	41640
735	115641	41480
736	115794	41321
737	115935	41158
738	116077	40996
739	116232	40838
740	116377	40677
741	116527	40517
742	116669	40355
743	116819	40195
744	116960	40033
745	117101	39870
746	117250	39711
747	117454	39570
748	117605	39411
749	117759	39253
750	117906	39092
751	118055	38933
752	118230	38782
753	118381	38623
754	118518	38459
755	118669	38300
756	118817	38140
757	118966	37981
758	119109	37819
759	119258	37660
760	119402	37499
761	119562	37343
762	119721	37187
763	119868	37027
764	120023	36870
765	120246	36733
766	120392	36572
767	120535	36411
768	120721	36263
769	120878	36106
770	121011	35942
771	121142	35777
772	121280	35615
773	121417	35452
774	121550	35288
775	121682	35124
776	121814	34960
777	121943	34796
778	122074	34632
779	122205	34468
780	122329	34302
781	122462	34139
782	122643	33989
783	122785	33828
784	122915	33664
785	123061	33505
786	123193	33341
787	123354	33186
788	123540	33038
789	123683	32877
790	123878	32731
791	124016	32570
792	124149	32407
793	124283	32244
794	124414	32081
795	124556	31921
796	124686	31758
797	124841	31601
798	124994	31444
799	125156	31289
800	125314	31133
801	125476	30978
802	125644	30824
803	125802	30668
804	125971	30514
805	126132	30359
806	126283	30201
807	126444	30046
808	126602	29890
809	126760	29733
810	126911	29576
811	127143	29437
812	127311	29283
813	127464	29125
814	127619	28968
815	127764	28809
816	127928	28654
817	128079	28496
818	128228	28338
819	128375	28180
820	128551	28027
821	128708	27871
822	128856	27712
823	129017	27557
824	129168	27399
825	129312	27240
826	129469	27083
827	129630	26928
828	129795	26773
829	129950	26616
830	130105	26459
831	130316	26313
832	130485	26159
833	130634	26001
834	130796	25846
835	130943	25687
836	131098	25530
837	131256	25374
838	131406	25216
839	131558	25058
840	131712	24901
841	131869	24745
842	132023	24587
843	132167	24429
844	132321	24272
845	132465	24113
846	132629	23957
847	132775	23799
848	132929	23642
849	133083	23485
850	133229	23326
851	133375	23168
852	133604	23024
853	133780	22871
854	133943	22715
855	134097	22558
856	134257	22402
857	134423	22247
858	134572	22089
859	134721	21931
860	134870	21773
861	135016	21615
862	135178	21459
863	135351	21305
864	135506	21148
865	135660	20991
866	135816	20834
867	135974	20678
868	136180	20528
869	136334	20371
870	136499	20216
871	136653	20059
872	136839	19906
873	136965	19745
874	137107	19586
875	137271	19431
876	137444	19276
877	137590	19118
878	137720	18958
879	137865	18799
880	137997	18639
881	138128	18479
882	138265	18320
883	138401	18161
884	138540	18002
885	138678	17843
886	138836	17687
887	138986	17529
888	139113	17369
889	139263	17212
890	139433	17057
891	139586	16900
892	139718	16741
893	139864	16583
894	140057	16431
895	140227	16276
896	140366	16117
897	140501	15958
898	140633	15799
899	140765	15640
900	140906	15482
901	141043	15324
902	141179	15165
903	141323	15007
904	141499	14853
905	141650	14696
906	141799	14539
907	141965	14384
908	142116	14227
909	142265	14070
910	142423	13914
911	142573	13757
912	142720	13599
913	142870	13442
914	143011	13285
915	143188	13130
916	143372	12977
917	143522	12820
918	143686	12664
919	143827	12506
920	143989	12350
921	144150	12194
922	144303	12038
923	144451	11881
924	144599	11724
925	144739	11566
926	144931	11413
927	145101	11257
928	145252	11101
929	145396	10943
930	145546	10787
931	145699	10630
932	145872	10475
933	146027	10318
934	146174	10161
935	146323	10005
936	146530	9852
937	146708	9697
938	146848	9539
939	146999	9382
940	147153	9226
941	147297	9069
942	147449	8912
943	147609	8756
944	147772	8600
945	147922	8443
946	148073	8287
947	148220	8130
948	148371	7973
949	148535	7817
950	148695	7661
951	148854	7505
952	149016	7349
953	149176	7193
954	149333	7036
955	149493	6880
956	149667	6724
957	149884	6571
958	150041	6414
959	150186	6257
960	150339	6101
961	150497	5944
962	150656	5788
963	150810	5631
964	150956	5475
965	151116	5318
966	151282	5162
967	151438	5006
968	151604	4850
969	151761	4693
970	151924	4537
971	152126	4382
972	152287	4225
973	152460	4069
974	152599	3912
975	152737	3755
976	152871	3598
977	153058	3443
978	153221	3286
979	153383	3130
980	153518	2973
981	153651	2816
982	153797	2659
983	153930	2502
984	154056	2346
985	154208	2189
986	154349	2032
987	154479	1876
988	154600	1719
989	154735	1562
990	154868	1406
991	155046	1250
992	155208	1094
993	155340	937
994	155478	781
995	155606	624
996	155750	468
997	155903	312
998	156046	156
999	156256	0
