iter	MultiClass
0	1.539800319
1	1.292887293
2	1.107565305
3	0.9734393197
4	0.8664122182
5	0.7751484062
6	0.6992785859
7	0.6363932713
8	0.5749510429
9	0.5270131426
10	0.4827566426
11	0.4475324583
12	0.4129676007
13	0.3823353961
14	0.354300974
15	0.3306294494
16	0.307931536
17	0.2876390146
18	0.2680251277
19	0.250471091
20	0.2348988805
21	0.2223450646
22	0.2088512608
23	0.1962977222
24	0.1854326847
25	0.1755873311
26	0.1653475054
27	0.1553203307
28	0.14748748
29	0.1411013343
30	0.134333706
31	0.1278474413
32	0.1221257732
33	0.1177556497
34	0.1127951303
35	0.1088592012
36	0.1042118384
37	0.1012049579
38	0.09763078971
39	0.09439128188
40	0.09243858752
41	0.08954386643
42	0.08719841859
43	0.08527399674
44	0.08337605818
45	0.0812195713
46	0.07940044294
47	0.07767322031
48	0.07556324617
49	0.07333362091
50	0.07259950367
51	0.07064532523
52	0.06989620134
53	0.06835774403
54	0.06648996218
55	0.0654270469
56	0.06505878831
57	0.06397819625
58	0.06302524396
59	0.06158631026
60	0.06086452823
61	0.05995405165
62	0.05909089007
63	0.05799748089
64	0.05714494545
65	0.05662978963
66	0.05570462392
67	0.05493012011
68	0.05457755292
69	0.05350320081
70	0.05254849302
71	0.05162583021
72	0.05042497064
73	0.04975159881
74	0.04910217721
75	0.0486111903
76	0.0481742034
77	0.04763981832
78	0.04702053672
79	0.04683083309
80	0.04604882522
81	0.04556135963
82	0.04518820303
83	0.04426167068
84	0.04378512876
85	0.04273148287
86	0.04231283134
87	0.04178139562
88	0.04155919558
89	0.04118634496
90	0.04097431732
91	0.04047378022
92	0.04029304344
93	0.03987416853
94	0.03964304576
95	0.03936305558
96	0.03910479908
97	0.03818972396
98	0.03778033116
99	0.03750982763
100	0.03725878117
101	0.03714939731
102	0.03685057319
103	0.03660120263
104	0.03619902337
105	0.03589799377
106	0.03557155311
107	0.03527746765
108	0.03509677549
109	0.03493855358
110	0.03471867502
111	0.03450942555
112	0.03424412578
113	0.03405404669
114	0.03380546637
115	0.03354251351
116	0.03341976822
117	0.0328245594
118	0.03259006301
119	0.03235168285
120	0.03214984179
121	0.03176154888
122	0.03151661629
123	0.03133066757
124	0.03107969137
125	0.03093170845
126	0.03077977935
127	0.03061362971
128	0.03021686125
129	0.0296265656
130	0.0290796683
131	0.02891427247
132	0.02862940877
133	0.02848326221
134	0.02827402204
135	0.02812360036
136	0.02800566508
137	0.02783353165
138	0.02766184052
139	0.02762449286
140	0.02736346867
141	0.02722750803
142	0.02696840683
143	0.0267753389
144	0.0265319819
145	0.02643570261
146	0.02615449703
147	0.02605220476
148	0.02587597146
149	0.02583121988
150	0.02547795389
151	0.02533083481
152	0.02513423778
153	0.02482023091
154	0.02462695858
155	0.02448551389
156	0.0243087009
157	0.02413010752
158	0.02391960615
159	0.02381470713
160	0.02372275781
161	0.02341323666
162	0.02320448538
163	0.0228048173
164	0.02262294236
165	0.0225084713
166	0.02213647678
167	0.02196073946
168	0.02189733436
169	0.02186051268
170	0.02173671799
171	0.02151951531
172	0.02120897521
173	0.02113468693
174	0.02107686895
175	0.02104797852
176	0.02091410785
177	0.02077205214
178	0.02064292995
179	0.02051391303
180	0.02015779772
181	0.02006074415
182	0.01994579523
183	0.01986588374
184	0.01980545129
185	0.01967203519
186	0.01959771706
187	0.019487125
188	0.01933878549
189	0.01904137189
190	0.0189721626
191	0.01884670516
192	0.01878493994
193	0.01862187969
194	0.01850898057
195	0.01840912399
196	0.01830791768
197	0.01822648471
198	0.01808007163
199	0.01801365081
200	0.01787711617
201	0.01782370779
202	0.01776862444
203	0.01761079926
204	0.01756263688
205	0.01751592588
206	0.01746458707
207	0.01740582644
208	0.01732971544
209	0.01727332486
210	0.01721502694
211	0.01714599051
212	0.01708170778
213	0.01701307321
214	0.01693072369
215	0.01686410192
216	0.01683297537
217	0.01675837254
218	0.01673853547
219	0.01659663584
220	0.01656729284
221	0.01651078917
222	0.01645730732
223	0.0164013554
224	0.01632396825
225	0.01628452407
226	0.01621937692
227	0.01618509441
228	0.01604549622
229	0.01591279546
230	0.01587186562
231	0.01580130707
232	0.01574099406
233	0.01564969413
234	0.01549382456
235	0.01545347559
236	0.01541469471
237	0.01525407869
238	0.01514094773
239	0.01508086639
240	0.01502346364
241	0.01499890383
242	0.01494422944
243	0.01482251377
244	0.01470209178
245	0.01451999834
246	0.01446443531
247	0.01434771806
248	0.01427268445
249	0.01423152642
250	0.01411721105
251	0.01409430378
252	0.01402162263
253	0.01395001962
254	0.01391124991
255	0.01371780786
256	0.01364404525
257	0.01342898821
